unique_id: "AGChemie_Cyberzombie_Lv5"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeBoss
stats {
  body: 10
  quickness: 7
  strength: 13
  charisma: 1
  intelligence: 1
  willpower: 6
  essence: 6
  magic: 0
  reaction: 0
  hp: 140
  ap: 3
  armor: 4
  force: 0
  morale: 99
  discipline: 99
  awareness: 99
  perception: 40
  authority: 50
  protect_tether_range: 35
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 7
  close_combat: 10
  dodge: 2
}
specializations {
  rifle: 6
  edged: 10
  unarmed: 6
}
prefab_name: "Seattle:Core/TrollMale"
portrait {
  filename: "NPC_TrollMale_CyberZombie"
}
