unique_id: "BlitzTrust_Bronn_Lv5"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 8
  quickness: 6
  strength: 4
  charisma: 2
  intelligence: 4
  willpower: 4
  essence: 6
  magic: 0
  reaction: 1
  hp: 80
  ap: 2
  armor: 0
  force: 0
  morale: 75
  discipline: 99
  awareness: 75
  perception: 40
  authority: 50
  protect_tether_range: 5
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
  is_strict: 0
}
skills {
  ranged_combat: 6
  close_combat: 0
  throwing_weapons: 5
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_control: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 4
  dodge: 3
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 5
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Seattle:Core/HumanMale"
portrait {
  filename: "BackerPC_HumanFemale_LuckyStrike"
}
attackRandom: AttackStyle_AllEqual
vulnerabilities {
  normal: VulnerabilityLevel_Default
}
