unique_id: "Boss_Pitezel.ch_sht"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeBoss
stats {
  body: 10
  quickness: 6
  strength: 7
  charisma: 7
  intelligence: 7
  willpower: 4
  essence: 3
  magic: 3
  reaction: 5
  hp: 100
  ap: 3
  armor: 5
  force: 0
  morale: 99
  discipline: 99
  awareness: 99
  perception: 40
  authority: 99
  move_speed: 6
}
skills {
  ranged_combat: 5
  close_combat: 5
  throwing_weapons: 5
  spellcasting: 3
  decking: 0
  deck_build_repair: 0
  conjuring: 3
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 1
  dodge: 0
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 1
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 4
  unarmed: 0
  whips: 0
  throwing_blades: 1
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
}
attackRandom: AttackStyle_AllEqual
