unique_id: "Brotherhood_Lv5_Gunner"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeAggressive
stats {
  body: 4
  quickness: 6
  strength: 3
  charisma: 3
  intelligence: 3
  willpower: 4
  essence: 6
  magic: 0
  reaction: 0
  hp: 40
  ap: 2
  armor: 3
  force: 0
  morale: 75
  discipline: 75
  awareness: 75
  perception: 40
  authority: 50
}
skills {
  ranged_combat: 5
  close_combat: 1
  throwing_weapons: 3
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_control: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 4
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 2
  shotgun: 0
  smg: 3
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
}
attackRandom: AttackStyle_AllEqual
