unique_id: "DroneSupportB_RoboDoc"
archetypeName: "Player"
attitude: AttitudeAggressive
stats {
  body: 6
  quickness: 4
  strength: 4
  charisma: 0
  intelligence: 0
  willpower: 0
  essence: 0
  magic: 0
  reaction: 3
  hp: 60
  ap: 2
  armor: 3
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  move_speed: 8
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  tether_action: 16
  tether_follow: 2
}
skills {
  ranged_combat: 2
  close_combat: 0
  throwing_weapons: 4
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 2
  dodge: 1
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
}
specializations {
  bows: 0
  heavy_weapons: 1
  laser: 1
  pistol: 1
  rifle: 1
  shotgun: 1
  smg: 1
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
}
portrait {
  filename: "Generic_Drone_Medic"
}
attackRandom: AttackStyle_AllEqual
