unique_id: "Errant_Lv3_Elf_Shaman.ch_sht"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeAggressive
stats {
  body: 4
  quickness: 4
  strength: 3
  charisma: 3
  intelligence: 3
  willpower: 4
  essence: 6
  magic: 6
  reaction: 0
  hp: 45
  ap: 2
  armor: 1
  force: 0
  morale: 75
  discipline: 75
  awareness: 75
  perception: 40
  authority: 50
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 1
  close_combat: 0
  throwing_weapons: 1
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 3
  spirit_summoning: 3
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 2
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  drain_resistance: 2
  drone_combat: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 3
}
attackRandom: AttackStyle_AllEqual
