unique_id: "Ghoul Standard"
archetypeName: "Guard - Seek And Destroy"
attitude: AttitudeAggressive
stats {
  body: 5
  quickness: 0
  strength: 10
  charisma: 5
  intelligence: 3
  willpower: 3
  essence: 6
  magic: 0
  reaction: 5
  hp: 40
  ap: 2
  armor: 0
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  protect_tether_range: 3
  move_speed: 10
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
}
skills {
  ranged_combat: 4
  close_combat: 2
  throwing_weapons: 3
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 3
  biotech: 1
  dodge: 5
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  drain_resistance: 0
  drone_combat: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 2
  rifle: 0
  shotgun: 0
  smg: 4
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 6
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
}
prefab_name: "Extras/ElfFemaleBunraku"
portrait {
  filename: ""
}
attackRandom: AttackStyle_BestOnly
