unique_id: "Lvl4_Merc_Human_UtilityMan.ch_sht"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 5
  quickness: 3
  strength: 3
  charisma: 3
  intelligence: 3
  willpower: 3
  essence: 6
  magic: 6
  reaction: 4
  hp: 50
  ap: 3
  armor: 4
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 3
  close_combat: 1
  throwing_weapons: 0
  spellcasting: 3
  decking: 2
  deck_build_repair: 0
  conjuring: 2
  spirit_summoning: 3
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 2
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 0
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 1
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 1
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 2
  esp_control: 2
  drone_combat: 1
}
attackRandom: AttackStyle_AllEqual
