unique_id: "Lvl5_Troll_Rigger.ch_sht"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 7
  quickness: 4
  strength: 6
  charisma: 2
  intelligence: 5
  willpower: 4
  essence: 6
  magic: 0
  reaction: 4
  hp: 70
  ap: 3
  armor: 4
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
}
skills {
  ranged_combat: 0
  close_combat: 4
  throwing_weapons: 1
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 5
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 1
  dodge: 1
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 4
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 4
}
attackRandom: AttackStyle_AllEqual
