prefab_name: "Story/Coroner"
character_sheet_id: "BaseTemplate"
character_mod {
  stats {
    body: 5
    quickness: 4
    strength: 4
    charisma: 4
    intelligence: 4
    willpower: 4
    essence: 4
    magic: 0
    hp: 0
    ap: 0
    armor: 0
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
    vision_peripheral_distance: 0
    vision_cone_distance: 0
    vision_cone_angle: 0
  }
  skills {
    ranged_combat: 0
    close_combat: 2
    throwing_weapons: 0
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 5
    dodge: 0
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_paranormal: 0
    etiquette_socialite: 0
    etiquette_infected: 0
    chi_casting: 0
    drain_resistance: 0
    drone_combat: 0
  }
  specializations {
    pistol: 0
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 1
    unarmed: 0
    throwing_blades: 0
    spirit_control: 0
  }
  archetypeName: "Guard - Protect"
  attitude: AttitudeAggressive
}
team_id: "LoneStar"
char_name: "Dresden"
pc_spawn_number: -1
portrait {
  filename: "NPC_DwarfMale_Coroner"
}
