id: "ApexTurret Burst Gun"
type: ItemType_Pistol
uirep {
  icon: "icon_handgun"
  name: "AutoTurret Burst Gun"
  description: ""
}
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
maxAmmo: 24
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Burst (Turret)"
rpPenetrate: 8
affectsEnemy: true
canTargetActor: true
sorting_group: "Turret Weapons"
