id: "Berlin_AR 2 FN HAR (Smartlink)"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_fnhar"
  name: "FN HAR (Smartlink)"
  description: "Rifle: An assault rifle used by CorpSec units. Pierces up to 2 Armor, with a Smartlink to improve accuracy."
}
equipPrefabName: "AK97Rifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 36
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 10
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 4
rangeModTable: 2
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Rifle)"
abilityModes: "Burst (Rifle)"
abilityModes: "Auto (Rifle)"
rpPenetrate: 2
affectsEnemy: true
canTargetActor: true
store_cost: 2000
sorting_group: "Rifles"
