id: "Berlin_AR 2 HK G12A3z (Smartlink)"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_hecklerkochg12a3z"
  name: "Heckler & Koch G12A3z (Smartlink)"
  description: "Rifle: Smaller than most assault rifles, yet with a powerful punch. Further improved with the addition of a Smartlink system."
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 32
baseHPDamage: 13
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 10
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 4
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Rifle)"
abilityModes: "Burst (Rifle)"
abilityModes: "Auto (Rifle)"
affectsEnemy: true
canTargetActor: true
store_cost: 2000
sorting_group: "Rifles"
