id: "Berlin_AR 3 Colt M23"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_coltm23"
  name: "Colt M23"
  description: "Rifle: An easy favorite of runners, combining high stopping power with ammo capacity in a comfortable and familiar package."
}
equipPrefabName: "AK97Rifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 6"
maxAmmo: 34
baseHPDamage: 15
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Rifle)"
abilityModes: "Burst (Rifle)"
abilityModes: "Auto (Rifle)"
rpPenetrate: 2
affectsEnemy: true
canTargetActor: true
store_cost: 2750
sorting_group: "Rifles"
