id: "Berlin_Bound Greater Form Spirit"
type: ItemType_Consumable
uirep {
  icon: "icon_firespirit"
  name: "Bound Greater Form Spirit Fetish"
  description: "Summons a Greater Form Spirit with powerful spellcasting abilities. The fetish is consumed when used."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Magic
coreSkill: Skill_SpiritSummoning
forceRating: 6
apCost: 0
prereqStrings: "Player.SKILL.Skill_SpiritSummoning >= 6"
rangeModTable: 1
rangeModTable: 1
rangeModTable: 1
rangeModTable: 1
modelessAbilities: "SummonSpirit"
affectsFriendly: true
canTargetSelf: true
canTargetUnoccupiedGridPoint: true
isMagic: true
fxrep {
  preActionFxName: ""
  actionFxName: "BoundSpiritSummonAction"
  postActionFxName: ""
  hitReactionFxName: "GenericEmptyReaction"
  missReactionFxName: "GunMissReaction"
}
character_sheet_id: "Spirit Greater Form"
equipment_sheet_id: "Spirit Greater Form Spirit F6 Gear"
character_prefab_id: "SpiritToxic"
character_ui_name: "Inferno"
store_cost: 2000
sorting_group: "Bound Spirits"
