id: "Berlin_Counterstrike 1"
type: ItemType_Adept
uirep {
  icon: "icon_counterstrike"
  name: "Counterstrike"
  description: "The adept ends their turn, but will counterattack with their current weapon when attacked. Maximum of 3 counter-attacks per turn."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_ChiCasting
forceRating: 5
apCost: 1
prereqStrings: "Player.SKILL.Skill_ChiCasting >= 5"
baseHPDamage: 0
baseAPDamage: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Activate Counterstrike"
affectsFriendly: false
affectsEnemy: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 2
isMagic: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "AdeptSpellBuffAction"
  postActionFxName: ""
  hitReactionFxName: "AdeptOffenseBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
reactions_per_use: 3
store_cost: 1000
sorting_group: "Chi Casting (Adept)"
