id: "Berlin_DroneAutoRepair"
type: ItemType_Consumable
uirep {
  icon: "icon_dronerepairkit_crit"
  name: "Drone Auto Repair"
  description: "Activates when a drone receives critical damage, initiates an emergency self repair."
}
coreAttribute: Attribute_Body
coreSkill: Skill_Biotech
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "DocWagonBeaconDrone"
affectsFriendly: true
canTargetSelf: false
canTargetActor: true
effectDuration: 999
activationStatusEffects {
  uirep {
    icon: "icon_dronerepairkit_crit"
    name: "Drone Critical Repair Kit"
  }
  stackingCategory: "DocWagon"
  statusConditions: Condition_BuMoNAGold
  fxScript: "DocWagonBeaconStatus"
}
store_cost: 0
sorting_group: "Healing"
