id: "Berlin_Explosive Barrel (Fire)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichettifrag"
  name: "Barrel Explode"
  description: "Fire explosion."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
maxAmmo: 0
baseHPDamage: 14
baseAPDamage: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
modelessAbilities: "Flame (Location)"
affectsFriendly: true
affectsEnemy: true
canTargetSelf: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
additionalTargets: 5
isMagic: false
effectDuration: 1
effectRadius: 0
effectOnTile: true
activationStatusEffects {
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    intModValue: -8
    damageType: VulnerabilityType_Fire
  }
  statusConditions: Condition_CoverMedium
  fxScript: "Berlin:FireBarrelBurningStatus"
  durationFxScript: "BurningStatusHitReaction"
}
use_on_death: true
store_cost: 90
sorting_group: "Explosive"
damageType: VulnerabilityType_Fire
additionalTargetsPattern: TargetPatternType_Circle
additionalTargetsAtSource: true
