id: "Berlin_Explosive Barrel (Normal)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichettifrag"
  name: "Barrel Explode"
  description: "Normal type."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
maxAmmo: 0
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
modelessAbilities: "Explode (Location)"
affectsFriendly: true
affectsEnemy: true
canTargetSelf: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
use_on_death: true
store_cost: 90
sorting_group: "Explosive"
damageType: VulnerabilityType_Normal
maim_always: true
maim_large: true
