id: "Berlin_Explosive Barrel (Toxic)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichettifrag"
  name: "Barrel Explode"
  description: "Toxic explosion."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
maxAmmo: 0
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
modelessAbilities: "Flame (Location)"
affectsFriendly: true
affectsEnemy: true
canTargetSelf: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
additionalTargets: 5
isMagic: false
effectDuration: 2
effectRadius: 0
effectOnTile: true
activationStatusEffects {
  stackingCategory: "Toxic"
  statMods {
    attribute: Attribute_HP
    intModValue: -10
    damageType: VulnerabilityType_Bleed
  }
  statusConditions: Condition_CoverMedium
  fxScript: "Berlin:ToxicCloudStatus"
  durationFxScript: "BurningStatusHitReaction"
}
use_on_death: true
store_cost: 90
sorting_group: "Explosive"
damageType: VulnerabilityType_Bleed
additionalTargetsPattern: TargetPatternType_Circle
additionalTargetsAtSource: true
