id: "Berlin_Gargoyle High Melee"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Claw Swipe"
  description: "A crushing claw attack that does -15 HP DMG."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
baseHPDamage: 15
baseAPDamage: 0
rangeModTable: 2
rangeModTable: 0
effectModTable: 1
effectModTable: 0.5
effectModTable: 0.5
noiseLevel: 0
noiseRounds: 0
spreadAngle: 45
modelessAbilities: "Scorpyrine Melee"
affectsEnemy: true
canTargetActor: true
fxrep {
  preActionFxName: ""
  actionFxName: "Berlin:GargoyleClawSwipeAction"
  postActionFxName: ""
  hitReactionFxName: "ClawSwipeHitReaction"
  missReactionFxName: "UnarmedMissReaction"
}
sorting_group: "Critter Powers"
damageType: VulnerabilityType_Normal
