id: "Berlin_HealthPack_med"
type: ItemType_Consumable
uirep {
  icon: "icon_medkit2"
  name: "Advanced Medkit"
  description: "The advanced medkit that heals you or any team member. Consumed when used. Can be used outside of combat."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
apCost: 1
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Heal"
affectsFriendly: true
canTargetSelf: true
canTargetActor: true
store_cost: 150
sorting_group: "Healing"
damageType: VulnerabilityType_Heal
