id: "Berlin_Hellhound High Chomp"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Chomp"
  description: "A bite from the powerful jaws of a hellbeast."
}
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Chomp"
affectsEnemy: true
canTargetActor: true
sorting_group: "Critter Powers"
damageType: VulnerabilityType_Normal
