id: "Berlin_Induction Datajack"
type: ItemType_Cyberware
uirep {
  icon: "icon_cyber_inductiondatajack"
  name: "Induction Datajack"
  description: "Useful for deckers and riggers who don\'t want to sacrifice valuable headware space."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 1
apCost: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Decker Mark Target 1"
modelessAbilities: "Decker Mark Target 2"
modelessAbilities: "Decker Mark Target 3"
modelessAbilities: "Decker Mark Target 3 (Armor Strip)"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
equippedStatusEffects {
  statMods {
    attribute: Attribute_Magic_Essence
    floatModValue: -0.3
  }
}
cyberware_type: CyberwareType_Arm
outfit_texture: "cyber_1_arm"
is_cyberware_datajack: true
store_cost: 1000
sorting_group: "CyberwareArms"
