id: "Berlin_MG 2 Cyberzombie Minigun"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_vindicatorminigun"
  name: "Vanquisher Minigun"
  description: ""
}
equipPrefabName: "Berlin:Minigun"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 3"
prereqStrings: "Player.ATTRIBUTE.Attribute_Strength >= 7"
maxAmmo: 30
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 4
rangeModTable: 0
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 2
spreadAngle: 9.49
abilityModes: "Burst (Minigun)"
abilityModes: "Auto (Minigun)"
affectsEnemy: true
canTargetActor: true
store_cost: 5000
sorting_group: "Rifles"
maim_always: true
