id: "Berlin_MG 2 DroneMinigun"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_vindicatorminigun"
  name: "Vindicator Minigun Vehicle Mount"
  description: "Rifle: Six rotating barrels with an impressive rate of fire, for mount on a drone or vehicle."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 3"
prereqStrings: "Player.ATTRIBUTE.Attribute_Strength >= 7"
maxAmmo: 30
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -4
rangeModTable: -6
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -28
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
rangeModTable: -40
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 2
spreadAngle: 9.49
abilityModes: "Burst (Minigun)"
abilityModes: "Auto (Minigun)"
affectsEnemy: true
canTargetActor: true
store_cost: 5000
sorting_group: "Rifles"
maim_always: true
