id: "Berlin_Pi 1 Taser"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_taser"
  name: "Defiance Super Shock"
  description: "Taser: A popular weapon with law enforcement. Its darts trail a wire, allowing a powerful shock to be delivered."
}
equipPrefabName: "berlin:Taser"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 3
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 2"
maxAmmo: 1
baseHPDamage: 4
baseAPDamage: 3
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 1
modelessAbilities: "Shoot (Taser)"
modelessAbilities: "Aimed Shot (Taser)"
affectsEnemy: true
canTargetActor: true
store_cost: 350
sorting_group: "Pistols"
