id: "Berlin_Pi 2 Pulsar"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_taser"
  name: "Yamaha Pulsar"
  description: "Taser: The Pulsar has a higher capacity and range than the standard taser."
}
equipPrefabName: "berlin:Taser"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 5
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 5"
maxAmmo: 2
baseHPDamage: 4
baseAPDamage: 3
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 1
modelessAbilities: "Shoot (Taser)"
modelessAbilities: "Aimed Shot (Taser)"
affectsEnemy: true
canTargetActor: true
store_cost: 800
sorting_group: "Pistols"
