id: "Berlin_Sh 1 Benelli (Sawed Off)"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_streetsweeper"
  name: "Sawed-Off Benelli"
  description: "Shotgun: A low-end, all-purpose shotgun, with the last few inches of the barrel sawed off."
}
equipPrefabName: "StreetSweeperShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
maxAmmo: 4
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
rangeModTable: -40
rangeModTable: -42
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 11.6
abilityModes: "DC Single (Shotgun)"
affectsEnemy: true
canTargetActor: true
store_cost: 280
sorting_group: "Shotguns"
maim_always: true
