id: "Berlin_Sh 1 Benelli Raffaello"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_benelliraffaello"
  name: "Benelli Raffaello"
  description: "Shotgun: A low-end, all-purpose shotgun."
}
equipPrefabName: "TacticalShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 4
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
rangeModTable: -40
rangeModTable: -42
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "DC Single (Shotgun)"
affectsEnemy: true
canTargetActor: true
store_cost: 400
sorting_group: "Shotguns"
maim_always: true
