id: "Berlin_Sh 2 Remington 990 (Smartlink)"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_remington990"
  name: "Remington 990 (Smartlink)"
  description: "Shotgun: A shotgun seemingly made for shadowrunners, with an integral Smartlink system."
}
equipPrefabName: "TacticalShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 8
baseHPDamage: 16
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 11
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "DC Single (Shotgun)"
affectsEnemy: true
canTargetActor: true
store_cost: 2000
sorting_group: "Shotguns"
maim_always: true
