id: "Berlin_SMG 2 Ingram Smartgun"
type: ItemType_SMG
uirep {
  icon: "icon_gun_ingramsmartgun"
  name: "Ingram Smartgun"
  description: "SMG: The professional street samurai\'s weapon of choice."
}
equipPrefabName: "TacticalSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
maxAmmo: 30
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "DC Burst (SMG)"
affectsEnemy: true
canTargetActor: true
store_cost: 900
sorting_group: "SMGs"
