id: "Berlin_Spell Blood Burn 2"
type: ItemType_Spell
uirep {
  icon: "icon_acidstream2"
  name: "Blood Burn II"
  description: "An ancient blood magic that also does ongoing -6 HP for 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 6
apCost: 1
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 4"
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Acid Stream"
rpReduce: 1
rpPenetrate: 2
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "Berlin:BloodMageSpellPrepare"
  actionFxName: "Berlin:BloodMageAcidStreamThrowAction"
  postActionFxName: ""
  hitReactionFxName: "Berlin:BloodSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_acidstream2"
    name: "Bleeding: HP -6 per RND"
  }
  stackingCategory: "Bleeding"
  statMods {
    attribute: Attribute_HP
    intModValue: -6
    damageType: VulnerabilityType_Bleed
  }
  fxScript: "Berlin:BloodBurnStatus"
  is_debuff: true
}
store_cost: 600
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_Magic
