id: "Berlin_Spell Dark AOE Stun"
type: ItemType_Spell
uirep {
  icon: "icon_stunball1"
  name: "Stunball 1"
  description: "Magical explosion that does -1 AP."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 6
apCost: 2
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
effectModTable: 1
effectModTable: 1
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Stunball"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
cooldown: 2
isMagic: true
effectDuration: 0
fxrep {
  preActionFxName: "Berlin:AdversarySpellPrepare"
  actionFxName: "Berlin:AdversarySpellRangedAttackAOE"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 750
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_Magic
