id: "Berlin_Spell Distraction 2"
type: ItemType_Spell
uirep {
  icon: "icon_distraction2"
  name: "Distraction II"
  description: "Decreases the target\'s to hit chance by 15%. Lasts for 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 3
apCost: 1
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 4"
prereqStrings: "Player.ATTRIBUTE.Attribute_Charisma >= 3"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "DeBuff Spells"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 0
isMagic: true
effectDuration: 2
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_distraction2"
    name: "Distracted: Accuracy -15%"
  }
  stackingCategory: "Aim"
  statMods {
    attribute: Attribute_Accuracy
    intModValue: -15
  }
  is_debuff: true
}
store_cost: 600
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_Debuff
