id: "Berlin_Spell Nerve Bolt 1"
type: ItemType_AttackSpell
uirep {
  icon: "icon_nervebolt1"
  name: "Nerve Bolt"
  description: "Does minor damage, but unbalances the target making them easier to hit."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 2
apCost: 1
prereqStrings: "Player.SKILL.Skill_Conjuring >= 1"
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Nervebolt"
modelessAbilities: "Nervebolt (Flush Target)"
affectsEnemy: true
canTargetActor: true
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "AcidSpellPrepare"
  actionFxName: "AcidStreamThrowAction"
  postActionFxName: ""
  hitReactionFxName: "AcidHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_acidstream1"
    name: "Unbalanced by Nerve Bolt"
  }
  stackingCategory: "Nerve"
  statMods {
    attribute: Attribute_Accuracy_Reduction_Mod
    intModValue: -7
  }
  fxScript: "AcidBurnStatus"
  is_debuff: true
}
store_cost: 200
sorting_group: "Conjuring (Shaman)"
