id: "Berlin_Spell Shadow"
type: ItemType_Shaman
uirep {
  icon: "icon_shadow"
  name: "Shadow"
  description: "Creates a shadow zone in which characters cannot be targeted, nor target others. Lasts until the beginning of your next turn."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 6
apCost: 2
prereqStrings: "Player.SKILL.Skill_Conjuring >= 5"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 1
noiseRounds: 1
modelessAbilities: "Cast AOE Buffs"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
isBuff: true
cooldown: 5
isMagic: true
effectDuration: 1
effectRadius: 3
effectOnTile: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_shadow"
    name: "Shadow: Cannot Be Targeted"
  }
  statusConditions: Condition_Invisible
  fxScript: "ShadowAOE"
  is_buff: true
}
store_cost: 1200
sorting_group: "Conjuring (Shaman)"
damageType: VulnerabilityType_Buff
