id: "Berlin_Spell Stunball 2"
type: ItemType_Spell
uirep {
  icon: "icon_stunball2"
  name: "Stunball II"
  description: "Magical explosion that does -1 AP and ongoing -1 AP that lasts 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 6
apCost: 3
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 6"
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
effectModTable: 1
effectModTable: 1
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Stunball"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
cooldown: 3
isMagic: true
effectDuration: 2
fxrep {
  preActionFxName: "StunSpellPrepare"
  actionFxName: "StunBallThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_stunball2"
    name: "Stun: AP -1 per RND"
  }
  stackingCategory: "AP"
  statMods {
    attribute: Attribute_AP_Effect
    intModValue: -1
  }
  fxScript: "GenericSpellStatus"
  is_debuff: true
}
store_cost: 1500
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_ActionPoints
