id: "Berlin_Spell Stunbolt 2"
type: ItemType_Spell
uirep {
  icon: "icon_stunbolt2"
  name: "Stunbolt II"
  description: "A stun spell which does -1 AP to the target and ongoing -1 AP that lasts 1 RND."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 3
apCost: 2
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 6"
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Stunbolt"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 4
isMagic: true
fxrep {
  preActionFxName: "StunSpellPrepare"
  actionFxName: "StunBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_stunbolt2"
    name: "Stun: AP -1 per RND"
  }
  stackingCategory: "AP"
  statMods {
    attribute: Attribute_AP_Effect
    intModValue: -1
  }
  fxScript: "GenericSpellStatus"
  is_debuff: true
}
store_cost: 1200
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_ActionPoints
