id: "Berlin_SR 3 Ranger Arms SM-3 (Smartlink)"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_waltherma"
  name: "Ranger Arms SM-3 (Smartlink)"
  description: "Rifle: Extremely powerful, with a variable-magnification scope. Includes an integral Smartlink system. Pierces up to 1 Armor."
}
equipPrefabName: "Berlin:MA2100_SniperRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 8"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 6
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: -25
rangeModTable: -24
rangeModTable: -23
rangeModTable: -22
rangeModTable: -20
rangeModTable: -17
rangeModTable: -15
rangeModTable: -13
rangeModTable: -11
rangeModTable: -8
rangeModTable: -6
rangeModTable: -4
rangeModTable: -2
rangeModTable: 0
rangeModTable: 2
rangeModTable: 4
rangeModTable: 6
rangeModTable: 8
rangeModTable: 10
rangeModTable: 12
rangeModTable: 14
rangeModTable: 16
rangeModTable: 18
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Sniper Rifle)"
rpPenetrate: 1
affectsEnemy: true
canTargetActor: true
reloadInteraction: "InteractionReloadSniperRifle"
store_cost: 3750
sorting_group: "Rifles"
maim_always: true
