id: "Berlin_Sword 1 Machete (Old)"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_machette"
  name: "Machete"
  description: "Melee: This machete has seen you through a few runs, but it\'s starting to dull."
}
equipPrefabName: "Machete"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: 0
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "Melee (Basic Sword)"
affectsEnemy: true
canTargetActor: true
store_cost: 100
sorting_group: "Melee"
