id: "Berlin_Sword 2 KatanaDikote"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_katanaforged"
  name: "Dikoted Katana"
  description: "Melee: A katana that has undergone the Dikote process, making it truly deadly. May do AP DMG on critical hits."
}
equipPrefabName: "Katana"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
prereqStrings: "Player.SKILL.Skill_CloseCombat >= 7"
maxAmmo: 0
baseHPDamage: 6
baseAPDamage: 0
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "DC Melee (Advanced Sword)"
affectsEnemy: true
canTargetActor: true
store_cost: 3500
sorting_group: "Melee"
maim_always: true
