id: "Berlin_Sword 2 KatanaForged"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_katanaforged"
  name: "Hand-Forged Katana"
  description: "Melee: A deadly weapon and a work of art. May do AP DMG on a critical hit."
}
equipPrefabName: "Katana"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
prereqStrings: "Player.SKILL.Skill_CloseCombat >= 5"
maxAmmo: 0
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "DC Melee (Advanced Sword)"
affectsEnemy: true
canTargetActor: true
store_cost: 1750
sorting_group: "Melee"
maim_always: true
