id: "Bound Toxic Spirit 1"
type: ItemType_Consumable
uirep {
  icon: "icon_naturespirit"
  name: "Force 1 Toxic Elemental Fetish"
  description: "Summons a Force 1 Toxic Elemental. The fetish is consumed when used."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Magic
coreSkill: Skill_SpiritSummoning
forceRating: 1
apCost: 0
prereqStrings: "Player.SKILL.Skill_SpiritSummoning >= 1"
rangeModTable: 1
rangeModTable: 1
rangeModTable: 1
rangeModTable: 1
modelessAbilities: "SummonSpirit"
affectsFriendly: true
canTargetSelf: true
canTargetUnoccupiedGridPoint: true
isMagic: true
fxrep {
  preActionFxName: ""
  actionFxName: "BoundSpiritSummonAction"
  postActionFxName: ""
  hitReactionFxName: "GenericEmptyReaction"
  missReactionFxName: "GunMissReaction"
}
character_sheet_id: "Spirit Toxic"
equipment_sheet_id: "Spirit Toxic F$ Gear"
character_prefab_id: "SpiritToxic"
character_ui_name: "Pestilence"
store_cost: 500
sorting_group: "Bound Spirits"
