id: "DR 1 Narcoject (Castle)"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_rugerthunderbolt"
  name: "Narcoject Pistol"
  description: "Pistol: Delivers chemical-coated darts, doing little up-front damage but 1 AP DMG per RND for 3 RNDs."
}
equipPrefabName: "AresPredatorPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
coreSpecialization: Specialization_SC_Attack_Spells
apCost: 1
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
maxAmmo: 2
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 4
rangeModTable: 2
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
modelessAbilities: "Shoot (Single)"
affectsEnemy: true
canTargetActor: true
effectDuration: 3
activationStatusEffects {
  uirep {
    icon: "icon_fogB"
    name: "Narcoject: -1 AP per RND"
  }
  statMods {
    attribute: Attribute_AP
    intModValue: -1
    damageType: VulnerabilityType_Bleed
  }
  fxScript: "AcidBurnStatus"
  durationFxScript: "BurningStatusHitReaction"
  is_ignore_armor: true
  is_debuff: true
}
store_cost: 1200
sorting_group: "Pistols"
