id: "Spell Shaman Bolt (Castle)"
type: ItemType_AttackSpell
uirep {
  icon: "icon_nervebolt"
  name: "Totem Bolt"
  description: "Doctor Castle\'s versatile attack spell."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 6
apCost: 1
maxAmmo: 0
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Shaman Bolt"
modelessAbilities: "Shaman Bolt (Aim)"
modelessAbilities: "Shaman Bolt (Slow)"
modelessAbilities: "Shaman Bolt (Fire)"
modelessAbilities: "Shaman Bolt (Shadow)"
affectsEnemy: true
canTargetActor: true
isMagic: false
fxrep {
  preActionFxName: "AcidSpellPrepare"
  actionFxName: "Berlin:ToxicBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "ToxicBoltHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 1200
sorting_group: "Conjuring (Shaman)"
