id: "Shock Hand (Coyote)"
type: ItemType_Cyberware
uirep {
  icon: "icon_weapon_shockhand"
  name: "Shock Hand"
  description: "Uses the Close Combat skill for accuracy and Unarmed for critical chance. DMG: Strength + 2. May do AP DMG on critical hits. Allows for an enhanced Stun attack on a 2 RND cooldown."
}
equipPrefabName: "Cyberweapon Weapon 2 Shock Hand"
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
prereqStrings: "Player.SKILL.Skill_CyberwareAffinity >= 2"
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: 0
rangeModTable: 12
noiseLevel: 0
noiseRounds: 0
abilityModes: "DC Wound (Unarmed)"
abilityModes: "DC Killing Hands (Unarmed)"
abilityModes: "DC Killing Hands (Passive)"
modelessAbilities: "Stun (Shock Hand)"
affectsEnemy: true
canTargetActor: true
equippedStatusEffects {
  statMods {
    attribute: Attribute_Magic_Essence
    floatModValue: -0.5
  }
  is_from_cyberware: true
}
cyberware_type: CyberwareType_Weapon
store_cost: 699
sorting_group: "CyberwareWeapon"
