id: "Cyberware Deactivator (Taser)"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_taser"
  name: "Cyberware Deactivator"
  description: "A custom made weapon, usable only at extremely close range. Keyed to a specific target\'s cyberware codes."
}
equipPrefabName: "berlin:Taser"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 3
apCost: 1
maxAmmo: 1
baseHPDamage: 0
baseAPDamage: 8
rangeModTable: 20
rangeModTable: 20
noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 1
modelessAbilities: "Shoot (Taser)"
modelessAbilities: "Aimed Shot (Taser)"
affectsEnemy: true
canTargetActor: true
store_cost: 0
sorting_group: "Pistols"
