id: "Dante Chomp"
type: ItemType_Unarmed
uirep {
  icon: "icon_dog"
  name: "Chomp"
  description: "A bite from the powerful jaws of a half-hellbeast."
}
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
maxAmmo: 0
baseHPDamage: 3
baseAPDamage: 0
rangeModTable: 8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Chomp"
modelessAbilities: "Dante Bite (Rip Armor)"
affectsEnemy: true
canTargetActor: true
sorting_group: "Critter Powers"
maim_crit: true
