id: "Dante Flame Breath"
type: ItemType_Spell
uirep {
  icon: "icon_danteflamebreath"
  name: "Flame Breath"
  description: "A breath of fire that does -12 HP DMG and does an additional -5 HP DMG for 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 4
apCost: 1
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Flame Breath"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: ""
  actionFxName: "HellhoundFlameBreathAction"
  postActionFxName: ""
  hitReactionFxName: "FireHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_fireball"
    name: "On Fire: HP -5 per RND"
  }
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    intModValue: -5
    damageType: VulnerabilityType_Fire
  }
  fxScript: "BurningStatus"
}
sorting_group: "Critter Powers"
damageType: VulnerabilityType_Fire
