id: "Drone Grenade (Phosphorus)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_phosphorus"
  name: "Phosphorus Grenade"
  description: "Packed with phosphorus this grenade explodes causing an additional 4 HP DMG for 3 RNDS. Strips 1 Armor from the target."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 2
apCost: 2
maxAmmo: 0
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 1
noiseLevel: 11
noiseRounds: 1
modelessAbilities: "Drone Launch (Phos Grenade)"
rpReduce: 1
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
isMagic: false
effectDuration: 3
activationStatusEffects {
  uirep {
    icon: "icon_grenade_phosphorus"
    name: "Fire: -4 HP"
  }
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    intModValue: -4
    damageType: VulnerabilityType_Fire
  }
  fxScript: "BurningStatus"
  is_debuff: true
}
store_cost: 75
sorting_group: "Grenades"
is_consumable: true
damageType: VulnerabilityType_Fire
