id: "Fist_Beta"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Serum Fist"
  description: "Inject a serum into stunned targets, taking them out of the fight."
}
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 12
noiseLevel: 0
noiseRounds: 0
abilityModes: "DC Wound (Unarmed)"
abilityModes: "DC Killing Hands (Unarmed)"
abilityModes: "DC Killing Hands (Passive)"
modelessAbilities: "Anesthetize"
affectsEnemy: true
canTargetActor: true
sorting_group: "Melee"
