id: "Spell Powerbolt 3 (Seamus)"
type: ItemType_AttackSpell
uirep {
  icon: "icon_powerbolt3"
  name: "Powerbolt III"
  description: "The most basic spell every mage knows and always has ready."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
apCost: 1
maxAmmo: 0
baseHPDamage: 13
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Powerbolt"
modelessAbilities: "Powerbolt Aim"
affectsEnemy: true
canTargetActor: true
isMagic: false
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "PowerBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 1350
sorting_group: "crewWeapon"
