id: "AR Glove (Paco)"
type: ItemType_Unarmed
uirep {
  icon: "icon_cyberweapon_shockhand"
  name: "Drone AR Glove"
  description: "The out-of-the-box soultion for an out of this world drone."
}
equipPrefabName: "HongKong:shockGlove"
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 3
apCost: 1
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Servo Tuning 1 (Glove)"
modelessAbilities: "Overclock 1 (Glove)"
modelessAbilities: "Manual Focusing 1 (Glove)"
affectsFriendly: true
affectsEnemy: false
affectsDronesOnly: true
canTargetActor: true
isBuff: true
store_cost: 350
sorting_group: "crewWeapon"
