id: "Ex 2 Potato Launcher"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_grenadelauncher"
  name: "Potato Launcher"
  description: "A primitive mortar weapon. Gets the job done."
}
equipPrefabName: "Berlin:M97GrenadeLauncher"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 3
apCost: 1
prereqStrings: "TAG.Paco_Tough_2 EXISTS"
maxAmmo: 1
baseHPDamage: 14
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 6
noiseRounds: 1
ammoReloadAPCost: 1
locationMissSkew: true
modelessAbilities: "Shoot (Grenade Launcher)"
affectsEnemy: true
canTargetActor: true
reloadInteraction: "InteractionReloadGrenadeLauncherSingle"
store_cost: 500
sorting_group: "crewWeapon"
maim_always: true
maim_large: true
