id: "Potato Sack 1 (Paco)"
type: ItemType_Thrown
uirep {
  icon: "icon_ability_duncan_gas_grenade"
  name: "Panic Potato"
  description: "An experimental gas grenades. Causes targets to panic and ignore enemies for 1 RND."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
apCost: 2
prereqStrings: "TAG.Paco_Tough_2 EXISTS"
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 5
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 1
noiseLevel: 6
noiseRounds: 1
abilityModes: "Throw (Smoke Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
isMagic: true
effectDuration: 1
effectRadius: 2
effectOnTile: true
activationStatusEffects {
  uirep {
    icon: "icon_fireball1"
    name: "Panicked: Ignoring Foes"
  }
  stackingCategory: "AI"
  statusConditions: Condition_MindWiped
  fxScript: "Berlin:ToxicCloudStatus"
  is_ignore_armor: true
  is_debuff: true
}
store_cost: 500
sorting_group: "crewWeapon"
is_consumable: true
damageType: VulnerabilityType_Mental
