id: "Weapon_Drone_Planchada_SMG 2"
type: ItemType_SMG
uirep {
  icon: "icon_crew_racterdrone_koschei_turret"
  name: "Burst Turret"
  description: "SMG: Bullets, bullets everywhere."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
apCost: 1
prereqStrings: "TAG.Paco_Tough_1 EXISTS"
maxAmmo: 60
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Drone Burst (SMG)"
affectsEnemy: true
canTargetActor: true
store_cost: 900
sorting_group: "crewWeapon"
