id: "Pi 2 Pain Inducer"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_paininducer"
  name: "Pain Inducer"
  description: "A customized taser with increased accuracy as well as a chance to spread to adjacent targets. 2 AP to reload."
}
equipPrefabName: "berlin:Taser"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 5
apCost: 1
maxAmmo: 2
baseHPDamage: 8
baseAPDamage: 3
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 2
spreadAngle: 11.6
modelessAbilities: "Shoot (PainInducer)"
modelessAbilities: "Aimed Shot (PainInducer)"
affectsEnemy: true
canTargetActor: true
store_cost: 800
sorting_group: "Pistols"
