id: "Pitezel Attack Fist"
type: ItemType_Unarmed
uirep {
  icon: "icon_wind"
  name: "Attack Fist"
  description: "As close to the enemy as you can come."
}
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: -1
rangeModTable: 4
rangeModTable: 2
noiseLevel: 0
noiseRounds: 0
spreadAngle: 45
modelessAbilities: "Punch (Pitezel)"
affectsEnemy: true
canTargetActor: true
sorting_group: "items"
