id: "PR IC Scrambler 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_confuseIC"
  name: "IC Scrambler"
  description: "Confuses the targeting systems of the IC, causing it to attack allies and ignore enemies for 2 RNDs."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 1
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
prereqStrings: "STORY.TrustMissionState_Blitz >= 3"
prereqStrings: "STORY.TrustMissionState_Blitz != 5"
prereqStrings: "STORY.TrustMissionState_Blitz != 6"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "DeBuff Spells"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 5
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixCastAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixDebuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_confusion"
    name: "Scrambled"
  }
  stackingCategory: "AI"
  statusConditions: Condition_Confused
}
store_cost: 100
sorting_group: "Programs"
