id: "Prop Broom"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_Baseballbat"
  name: "Broom"
  description: "Sweep away your enemies with this multi-purpose implement."
}
equipPrefabName: "Broom"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
maxAmmo: 0
baseHPDamage: 2
baseAPDamage: -10
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "Melee (Blunt)"
affectsEnemy: true
canTargetActor: true
store_cost: 10
sorting_group: "Melee"
