id: "Pure Spirit Spit"
type: ItemType_Unarmed
uirep {
  icon: "icon_spiritranged"
  name: "Pure spirit spit"
}
anim_type: AnimType_Null
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Venom Spit"
affectsEnemy: true
canTargetActor: true
fxrep {
  preActionFxName: ""
  actionFxName: "BugPureSpitAction"
  postActionFxName: ""
  hitReactionFxName: "BugVenomHitReaction"
  missReactionFxName: "GenericMissReaction"
}
sorting_group: "Critter Powers"
