id: "Sh 1 Ganger Shotgun"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_streetsweeper"
  name: "Ganger\'s Shotgun"
  description: "Held together by duct tape, this shotgun has seen many owners."
}
equipPrefabName: "StreetSweeperShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 4
baseHPDamage: 6
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 6
rangeModTable: 7
rangeModTable: 8
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "Single (Shotgun)"
affectsEnemy: true
canTargetActor: true
store_cost: 250
sorting_group: "Shotguns"
