id: "Sh 3 Defiance T-250"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_defiancet250"
  name: "Defiance T-250"
  description: "A top-line shotgun for those that like the big damage."
}
equipPrefabName: "StreetSweeperShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 6"
maxAmmo: 5
baseHPDamage: 22
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "Single (Shotgun)"
affectsEnemy: true
canTargetActor: true
store_cost: 750
sorting_group: "Shotguns"
